id,ans,question,a),b),c),d),e),year,sec,num,diff,blanks
1,e,"Much of our knowledge of dinosaurs comes from excavated bones, which, in _____ other clues such as fossilized tracks and eggs, help us to _____ the evolution of these creatures.","Much of our knowledge of dinosaurs comes from excavated bones, which, in convergence with other clues such as fossilized tracks and eggs, help us to supplant the evolution of these creatures.","Much of our knowledge of dinosaurs comes from excavated bones, which, in divergence from other clues such as fossilized tracks and eggs, help us to decode the evolution of these creatures.","Much of our knowledge of dinosaurs comes from excavated bones, which, in dependence on other clues such as fossilized tracks and eggs, help us to belie the evolution of these creatures.","Much of our knowledge of dinosaurs comes from excavated bones, which, in opposition to other clues such as fossilized tracks and eggs, help us to amplify the evolution of these creatures.","Much of our knowledge of dinosaurs comes from excavated bones, which, in conjunction with other clues such as fossilized tracks and eggs, help us to trace the evolution of these creatures.",2001,1,1,1,2
2,c,"Responding to criticism that the script was rambling and _____, the new screenwriter revised the dialogue for greater succinctness and _____.","Responding to criticism that the script was rambling and engaging, the new screenwriter revised the dialogue for greater succinctness and simplicity.","Responding to criticism that the script was rambling and subjective, the new screenwriter revised the dialogue for greater succinctness and ambiguity.","Responding to criticism that the script was rambling and muddled, the new screenwriter revised the dialogue for greater succinctness and clarity.","Responding to criticism that the script was rambling and terse, the new screenwriter revised the dialogue for greater succinctness and emptiness.","Responding to criticism that the script was rambling and difficult, the new screenwriter revised the dialogue for greater succinctness and abstraction.",2001,1,2,1,2
3,e,"Vernal pools are among the most _____ of ponds: theyform as a result of snowmelt and a high water table in winter, and then they _____ by late summer.","Vernal pools are among the most transitory of ponds: theyform as a result of snowmelt and a high water table in winter, and then they expand by late summer.","Vernal pools are among the most anachronistic of ponds: theyform as a result of snowmelt and a high water table in winter, and then they overflow by late summer.","Vernal pools are among the most immutable of ponds: theyform as a result of snowmelt and a high water table in winter, and then they drain by late summer.","Vernal pools are among the most itinerant of ponds: theyform as a result of snowmelt and a high water table in winter, and then they teem by late summer.","Vernal pools are among the most ephemeral of ponds: theyform as a result of snowmelt and a high water table in winter, and then they evaporate by late summer.",2001,1,3,2,2
4,e,"During the 1990's, Shanghai benefited from an architectural _____, the result of a dramatic increase in innovative and artistic building.","During the 1990's, Shanghai benefited from an architectural intransigence, the result of a dramatic increase in innovative and artistic building.","During the 1990's, Shanghai benefited from an architectural plenitude, the result of a dramatic increase in innovative and artistic building.","During the 1990's, Shanghai benefited from an architectural desecration, the result of a dramatic increase in innovative and artistic building.","During the 1990's, Shanghai benefited from an architectural stagnation, the result of a dramatic increase in innovative and artistic building.","During the 1990's, Shanghai benefited from an architectural renaissance, the result of a dramatic increase in innovative and artistic building.",2001,1,4,3,1
5,b,Many subatomic nuclear particles are _____ and nearly _____: they are hard to track as well as to detect.,Many subatomic nuclear particles are unstable and nearly explosive: they are hard to track as well as to detect.,Many subatomic nuclear particles are elusive and nearly imperceptible: they are hard to track as well as to detect.,Many subatomic nuclear particles are minute and nearly immobile: they are hard to track as well as to detect.,Many subatomic nuclear particles are charged and nearly reactive: they are hard to track as well as to detect.,Many subatomic nuclear particles are tenuous and nearly indivisible: they are hard to track as well as to detect.,2001,1,5,3,2
6,a,"Luisa worked with extreme precision, _____ that served her well in her law career.","Luisa worked with extreme precision, a meticulousness that served her well in her law career.","Luisa worked with extreme precision, an effrontery that served her well in her law career.","Luisa worked with extreme precision, an inhibition that served her well in her law career.","Luisa worked with extreme precision, a litigiousness that served her well in her law career.","Luisa worked with extreme precision, an impetuousness that served her well in her law career.",2001,1,6,3,1
7,a,"The crafty child tricked his innocent brother, a particularly _____ and trusting boy, into committing a mischievous prank.","The crafty child tricked his innocent brother, a particularly guileless and trusting boy, into committing a mischievous prank.","The crafty child tricked his innocent brother, a particularly intrusive and trusting boy, into committing a mischievous prank.","The crafty child tricked his innocent brother, a particularly astute and trusting boy, into committing a mischievous prank.","The crafty child tricked his innocent brother, a particularly opportunistic and trusting boy, into committing a mischievous prank.","The crafty child tricked his innocent brother, a particularly circumspect and trusting boy, into committing a mischievous prank.",2001,1,7,3,1
8,e,Ellen Ochoa's _____ with the apparatus in the space shuttle Discovery was apparent when she adroitly manipulated the shuttle's robot arm.,Ellen Ochoa's compromise with the apparatus in the space shuttle Discovery was apparent when she adroitly manipulated the shuttle's robot arm.,Ellen Ochoa's humility with the apparatus in the space shuttle Discovery was apparent when she adroitly manipulated the shuttle's robot arm.,Ellen Ochoa's machinations with the apparatus in the space shuttle Discovery was apparent when she adroitly manipulated the shuttle's robot arm.,Ellen Ochoa's synergy with the apparatus in the space shuttle Discovery was apparent when she adroitly manipulated the shuttle's robot arm.,Ellen Ochoa's deftness with the apparatus in the space shuttle Discovery was apparent when she adroitly manipulated the shuttle's robot arm.,2001,1,8,5,1
9,d,"In 1916 Yellowstone National Park had only 25 bison, but the population has since _____ to more than 2,000.","In 1916 Yellowstone National Park had only 25 bison, but the population has since dispersed to more than 2,000.","In 1916 Yellowstone National Park had only 25 bison, but the population has since mediated to more than 2,000.","In 1916 Yellowstone National Park had only 25 bison, but the population has since attenuated to more than 2,000.","In 1916 Yellowstone National Park had only 25 bison, but the population has since burgeoned to more than 2,000.","In 1916 Yellowstone National Park had only 25 bison, but the population has since reconciled to more than 2,000.",2001,1,9,5,1
10,a,"Originally _____ mainly by young, urban audiences, rap music was ultimately _____ by its appreciative listeners of all ages across the country.","Originally admired mainly by young, urban audiences, rap music was ultimately embraced by its appreciative listeners of all ages across the country.","Originally performed mainly by young, urban audiences, rap music was ultimately condemned by its appreciative listeners of all ages across the country.","Originally derided mainly by young, urban audiences, rap music was ultimately ignored by its appreciative listeners of all ages across the country.","Originally appropriated mainly by young, urban audiences, rap music was ultimately relinquished by its appreciative listeners of all ages across the country.","Originally applauded mainly by young, urban audiences, rap music was ultimately instigated by its appreciative listeners of all ages across the country.",2001,4,1,1,2
11,e,"It was out of _____ that Professor Green, the author of several highly respected books in his field, described himself to his colleagues as _____.","It was out of embarrassment that Professor Green, the author of several highly respected books in his field, described himself to his colleagues as a paragon.","It was out of magnanimity that Professor Green, the author of several highly respected books in his field, described himself to his colleagues as an avenger.","It was out of insolence that Professor Green, the author of several highly respected books in his field, described himself to his colleagues as a pedant.","It was out of egotism that Professor Green, the author of several highly respected books in his field, described himself to his colleagues as an apprentice.","It was out of modesty that Professor Green, the author of several highly respected books in his field, described himself to his colleagues as a dilettante.",2001,4,2,3,2
12,b,"The _____ experiences of Madonna Swan, the 1983 North American Indian Woman of the Year, cannot be fully appreciated if they are _____ in a tidy summary.","The varied experiences of Madonna Swan, the 1983 North American Indian Woman of the Year, cannot be fully appreciated if they are interposed in a tidy summary.","The diverse experiences of Madonna Swan, the 1983 North American Indian Woman of the Year, cannot be fully appreciated if they are condensed in a tidy summary.","The profound experiences of Madonna Swan, the 1983 North American Indian Woman of the Year, cannot be fully appreciated if they are magnified in a tidy summary.","The transformative experiences of Madonna Swan, the 1983 North American Indian Woman of the Year, cannot be fully appreciated if they are embellished in a tidy summary.","The impressive experiences of Madonna Swan, the 1983 North American Indian Woman of the Year, cannot be fully appreciated if they are immersed in a tidy summary.",2001,4,3,2,2
13,a,"The representative was a traditionalist, reluctant to support any legislation inconsistent with the nation's most _____ principles.","The representative was a traditionalist, reluctant to support any legislation inconsistent with the nation's most orthodox principles.","The representative was a traditionalist, reluctant to support any legislation inconsistent with the nation's most impassioned principles.","The representative was a traditionalist, reluctant to support any legislation inconsistent with the nation's most precarious principles.","The representative was a traditionalist, reluctant to support any legislation inconsistent with the nation's most impressionable principles.","The representative was a traditionalist, reluctant to support any legislation inconsistent with the nation's most indeterminate principles.",2001,4,4,2,1
14,e,"Historian Carlo Botta often contradicted himself, as when he first championed and then _____ the ideals of the French Revolution.","Historian Carlo Botta often contradicted himself, as when he first championed and then invoked the ideals of the French Revolution.","Historian Carlo Botta often contradicted himself, as when he first championed and then investigated the ideals of the French Revolution.","Historian Carlo Botta often contradicted himself, as when he first championed and then conceived the ideals of the French Revolution.","Historian Carlo Botta often contradicted himself, as when he first championed and then coveted the ideals of the French Revolution.","Historian Carlo Botta often contradicted himself, as when he first championed and then denounced the ideals of the French Revolution.",2001,4,5,2,1
15,a,"The author constructed a scenario in which playful, creative children are rewarded for their _____ and strict, dour adults are punished for their _____.","The author constructed a scenario in which playful, creative children are rewarded for their spontaneity and strict, dour adults are punished for their rigidity.","The author constructed a scenario in which playful, creative children are rewarded for their digressions and strict, dour adults are punished for their mirth.","The author constructed a scenario in which playful, creative children are rewarded for their solemnity and strict, dour adults are punished for their malice.","The author constructed a scenario in which playful, creative children are rewarded for their inflexibility and strict, dour adults are punished for their rigor.","The author constructed a scenario in which playful, creative children are rewarded for their improvisations and strict, dour adults are punished for their buoyancy.",2001,4,6,3,2
16,b,"Although usually warm and _____ in greeting friends, Lauren was too reserved ever to be truly _____.","Although usually warm and joyous in greeting friends, Lauren was too reserved ever to be truly conventional.","Although usually warm and cordial in greeting friends, Lauren was too reserved ever to be truly effusive.","Although usually warm and restrained in greeting friends, Lauren was too reserved ever to be truly gracious.","Although usually warm and dismissive in greeting friends, Lauren was too reserved ever to be truly ebullient.","Although usually warm and genial in greeting friends, Lauren was too reserved ever to be truly antisocial.",2001,4,7,3,2
17,a,"Legal scholars argue that when ""justice"" is interpreted too broadly, the concept becomes _____, easily changed and controlled by outside forces.","Legal scholars argue that when ""justice"" is interpreted too broadly, the concept becomes malleable, easily changed and controlled by outside forces.","Legal scholars argue that when ""justice"" is interpreted too broadly, the concept becomes influential, easily changed and controlled by outside forces.","Legal scholars argue that when ""justice"" is interpreted too broadly, the concept becomes coherent, easily changed and controlled by outside forces.","Legal scholars argue that when ""justice"" is interpreted too broadly, the concept becomes felicitous, easily changed and controlled by outside forces.","Legal scholars argue that when ""justice"" is interpreted too broadly, the concept becomes prosaic, easily changed and controlled by outside forces.",2001,4,8,3,1
18,e,The instructor's voice was so _____ that most students preferred taking a test to listening to its grating sound.,The instructor's voice was so receptive that most students preferred taking a test to listening to its grating sound.,The instructor's voice was so cajoling that most students preferred taking a test to listening to its grating sound.,The instructor's voice was so melodious that most students preferred taking a test to listening to its grating sound.,The instructor's voice was so muted that most students preferred taking a test to listening to its grating sound.,The instructor's voice was so strident that most students preferred taking a test to listening to its grating sound.,2001,4,9,4,1
19,b,"Though surgeon and researcher Charles Drew never enjoyed celebrity, he truly deserves to be _____ for his life's achievements.","Though surgeon and researcher Charles Drew never enjoyed celebrity, he truly deserves to be mollified for his life's achievements.","Though surgeon and researcher Charles Drew never enjoyed celebrity, he truly deserves to be lionized for his life's achievements.","Though surgeon and researcher Charles Drew never enjoyed celebrity, he truly deserves to be accosted for his life's achievements.","Though surgeon and researcher Charles Drew never enjoyed celebrity, he truly deserves to be galvanized for his life's achievements.","Though surgeon and researcher Charles Drew never enjoyed celebrity, he truly deserves to be vilified for his life's achievements.",2001,4,10,5,1
20,c,"In the Renaissance, when few women were formally educated and most were forced to marry, the rebellious Cecilia Gonzaga succeeded in _____ scholarship and _____ the marriage planned for her.","In the Renaissance, when few women were formally educated and most were forced to marry, the rebellious Cecilia Gonzaga succeeded in obtaining scholarship and succumbing to the marriage planned for her.","In the Renaissance, when few women were formally educated and most were forced to marry, the rebellious Cecilia Gonzaga succeeded in escaping scholarship and subverting the marriage planned for her.","In the Renaissance, when few women were formally educated and most were forced to marry, the rebellious Cecilia Gonzaga succeeded in pursuing scholarship and avoiding the marriage planned for her.","In the Renaissance, when few women were formally educated and most were forced to marry, the rebellious Cecilia Gonzaga succeeded in ignoring scholarship and observing the marriage planned for her.","In the Renaissance, when few women were formally educated and most were forced to marry, the rebellious Cecilia Gonzaga succeeded in disavowing scholarship and enjoying the marriage planned for her.",2002,1,1,1,2
21,c,"During the day, downpours were _____, starting and stopping at nearly regular intervals.","During the day, downpours were unmediated, starting and stopping at nearly regular intervals.","During the day, downpours were spontaneous, starting and stopping at nearly regular intervals.","During the day, downpours were periodic, starting and stopping at nearly regular intervals.","During the day, downpours were incidental, starting and stopping at nearly regular intervals.","During the day, downpours were endemic, starting and stopping at nearly regular intervals.",2002,1,2,1,1
22,e,"As a physicist, Veronica is a gifted _____; she loves to go beyond particular facts and speculate about general principles.","As a physicist, Veronica is a gifted dogmatist; she loves to go beyond particular facts and speculate about general principles.","As a physicist, Veronica is a gifted consultant; she loves to go beyond particular facts and speculate about general principles.","As a physicist, Veronica is a gifted prodigy; she loves to go beyond particular facts and speculate about general principles.","As a physicist, Veronica is a gifted materialist; she loves to go beyond particular facts and speculate about general principles.","As a physicist, Veronica is a gifted theorist; she loves to go beyond particular facts and speculate about general principles.",2002,1,3,2,1
23,a,"Although hostile demonstrations and _____ marred James Meredith’s 1962 enrollment at the University of Mississippi, the commencement ceremony in which he became the university’s first African American graduate was surprisingly _____.","Although hostile demonstrations and discord marred James Meredith’s 1962 enrollment at the University of Mississippi, the commencement ceremony in which he became the university’s first African American graduate was surprisingly tranquil.","Although hostile demonstrations and pomp marred James Meredith’s 1962 enrollment at the University of Mississippi, the commencement ceremony in which he became the university’s first African American graduate was surprisingly daunting.","Although hostile demonstrations and banality marred James Meredith’s 1962 enrollment at the University of Mississippi, the commencement ceremony in which he became the university’s first African American graduate was surprisingly conventional.","Although hostile demonstrations and turmoil marred James Meredith’s 1962 enrollment at the University of Mississippi, the commencement ceremony in which he became the university’s first African American graduate was surprisingly controversial.","Although hostile demonstrations and serenity marred James Meredith’s 1962 enrollment at the University of Mississippi, the commencement ceremony in which he became the university’s first African American graduate was surprisingly opportune.",2002,1,4,3,2
